,District name,Households,Rural_Households,Urban_Households
440,Barwani,299270.0,250358.0,48912.0
441,Rajgarh,401717.0,331894.0,69823.0
442,Vidisha,376409.0,292579.0,83830.0
443,Bhopal,700719.0,118893.0,581826.0
444,Sehore,329647.0,270427.0,59220.0
445,Raisen,325713.0,251272.0,74441.0
446,Betul,406649.0,318945.0,87704.0
447,Harda,144559.0,112714.0,31845.0
448,Hoshangabad,315396.0,209650.0,105746.0
449,Katni,349031.0,276151.0,72880.0
450,Jabalpur,624761.0,272284.0,352477.0
451,Narsimhapur,283718.0,230659.0,53059.0
452,Dindori,227795.0,218021.0,9774.0
453,Mandla,316932.0,279674.0,37258.0
454,Chhindwara,553944.0,413142.0,140802.0
455,Seoni,382587.0,335045.0,47542.0
456,Balaghat,470867.0,400074.0,70793.0
457,Guna,285085.0,212765.0,72320.0
458,Ashoknagar,206741.0,169606.0,37135.0
459,Shahdol,291440.0,233594.0,57846.0
460,Anuppur,207713.0,,
461,Sidhi,276869.0,250953.0,25916.0
462,Singrauli,287325.0,228732.0,58593.0
463,Jhabua,235793.0,211080.0,24713.0
464,Alirajpur,150528.0,135866.0,14662.0
465,Khandwa (East Nimar),329088.0,265663.0,63425.0
466,Burhanpur,178840.0,115979.0,62861.0
467,Kachchh,739275.0,488293.0,250982.0
468,Banas Kantha,804197.0,666773.0,137424.0
469,Patan,404138.0,301483.0,102655.0
470,Mahesana,659743.0,476005.0,183738.0
471,Sabar Kantha,665533.0,544024.0,121509.0
472,Gandhinagar,433258.0,237624.0,195634.0
473,Ahmadabad,2198552.0,353169.0,1845383.0
474,Surendranagar,500598.0,340788.0,159810.0
475,Rajkot,1181006.0,459474.0,721532.0
476,Jamnagar,646325.0,347158.0,299167.0
477,Porbandar,183572.0,96015.0,87557.0
478,Junagadh,776743.0,489237.0,287506.0
479,Amreli,430613.0,313714.0,116899.0
480,Bhavnagar,744077.0,387251.0,356826.0
481,Anand,621987.0,413078.0,208909.0
482,Kheda,622026.0,461479.0,160547.0
483,Panch Mahals,567601.0,463363.0,104238.0
484,Dohad,376504.0,323697.0,52807.0
485,Vadodara,1240425.0,547454.0,692971.0
486,Narmada,160369.0,138121.0,22248.0
487,Bharuch,481996.0,300677.0,181319.0
488,The Dangs,59618.0,52102.0,7516.0
489,Navsari,409156.0,267739.0,141417.0
490,Valsad,498391.0,262410.0,235981.0
491,Surat,1899838.0,369840.0,1529998.0
492,Tapi,218489.0,192272.0,26217.0
493,Diu,18850.0,9788.0,9062.0
494,Daman,71079.0,10006.0,61073.0
495,Dadra AND Nagar Haveli,108783.0,48221.0,60562.0
496,Nandurbar,405012.0,333440.0,71572.0
497,Dhule,528790.0,382777.0,146013.0
498,Jalgaon,1169788.0,796223.0,373565.0
499,Buldana,728192.0,575405.0,152787.0
500,Akola,504235.0,308158.0,196077.0
501,Washim,330846.0,274925.0,55921.0
502,Amravati,781815.0,508921.0,272894.0
503,Wardha,388704.0,268486.0,120218.0
504,Nagpur,1308366.0,430844.0,877522.0
505,Bhandara,356418.0,283843.0,72575.0
506,Gondiya,386515.0,319702.0,66813.0
507,Gadchiroli,330840.0,293586.0,37254.0
508,Chandrapur,684655.0,451324.0,233331.0
509,Yavatmal,798132.0,629243.0,168889.0
510,Nanded,821682.0,591119.0,230563.0
511,Hingoli,284369.0,242456.0,41913.0
512,Parbhani,427239.0,293480.0,133759.0
513,Jalna,502830.0,404746.0,98084.0
514,Aurangabad,979132.0,551789.0,427343.0
515,Nashik,1668932.0,904661.0,764271.0
516,Thane,3618151.0,713994.0,2904157.0
517,Mumbai Suburban,3078829.0,0.0,3078829.0
518,Mumbai,1107321.0,0.0,1107321.0
519,Raigarh,959028.0,581868.0,377160.0
520,Pune,3222457.0,1165718.0,2056739.0
521,Ahmadnagar,1323404.0,1041393.0,282011.0
522,Bid,698571.0,563114.0,135457.0
523,Latur,585632.0,428616.0,157016.0
524,Osmanabad,444990.0,367158.0,77832.0
525,Solapur,1156231.0,779929.0,376302.0
526,Satara,975471.0,774522.0,200949.0
527,Ratnagiri,639362.0,538538.0,100824.0
528,Sindhudurg,340836.0,295847.0,44989.0
529,Kolhapur,1179314.0,796496.0,382818.0
530,Sangli,853673.0,626872.0,226801.0
531,Adilabad,817714.0,597466.0,220248.0
532,Nizamabad,720298.0,565165.0,155133.0
533,Karimnagar,1165280.0,877236.0,288044.0
534,Medak,789132.0,593653.0,195479.0
535,Hyderabad,1066289.0,0.0,1066289.0
536,Rangareddy,1561322.0,432098.0,1129224.0
537,Mahbubnagar,1010015.0,848963.0,161052.0
538,Nalgonda,1030937.0,833504.0,197433.0
539,Warangal,1046987.0,758738.0,288249.0
540,Khammam,870625.0,669262.0,201363.0
541,Srikakulam,902436.0,752752.0,149684.0
542,Vizianagaram,749514.0,592458.0,157056.0
543,Visakhapatnam,1379340.0,718847.0,660493.0
544,East Godavari,1605841.0,1199479.0,406362.0
545,West Godavari,1255628.0,1007255.0,248373.0
546,Krishna,1476334.0,909292.0,567042.0
547,Guntur,1582990.0,1069877.0,513113.0
548,Prakasam,1087575.0,873486.0,214089.0
549,Sri Potti Sriramulu Nellore,953513.0,689137.0,264376.0
550,Y.S.R.,884093.0,590589.0,293504.0
551,Kurnool,1090835.0,783853.0,306982.0
552,Anantapur,1244428.0,902997.0,341431.0
553,Chittoor,395900.0,0.0,395900.0
554,Belgaum,1318975.0,962777.0,356198.0
555,Bagalkot,490657.0,324799.0,165858.0
556,Bijapur,527490.0,396449.0,131041.0
557,Bidar,389403.0,287134.0,102269.0
558,Raichur,455848.0,330446.0,125402.0
559,Koppal,337649.0,272968.0,64681.0
560,Gadag,291972.0,180066.0,111906.0
561,Dharwad,483104.0,199707.0,283397.0
562,Uttara Kannada,474792.0,334281.0,140511.0
563,Haveri,413564.0,315076.0,98488.0
564,Bellary,623480.0,371604.0,251876.0
565,Chitradurga,447348.0,349704.0,97644.0
566,Davanagere,530691.0,354680.0,176011.0
567,Shimoga,554106.0,352444.0,201662.0
568,Udupi,385389.0,269817.0,115572.0
