,District,Total_Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise,Households_Total_Livable,Households_Total_Dilapidated,Households_Total_Toilet_Premise
135,Jyotiba Phule Nagar,451374.0,335888.0,115486.0,203213,58552,19818,4620,135363,106248,261797,24375,240131
136,Meerut,803823.0,381520.0,422303.0,190379,151607,15643,8869,202588,392320,341625,24115,595633
137,Baghpat,316046.0,246055.0,69991.0,128687,32546,7874,2170,144681,60543,161184,10114,204482
138,Ghaziabad,1191723.0,355407.0,836316.0,180192,285184,12795,15054,212534,792828,463581,27410,1008198
139,Gautam Buddha Nagar,509770.0,170835.0,338935.0,72264,95241,4101,4407,88322,310126,168225,8157,396092
140,Bulandshahr,880077.0,658449.0,221628.0,370707,95965,28314,6206,203461,188384,467321,34324,389875
141,Aligarh,858059.0,582117.0,275942.0,330061,117000,25032,7451,124574,232896,446191,32607,360385
142,Mahamaya Nagar,373033.0,288150.0,84883.0,158771,39386,12103,2717,47545,61710,198827,14922,105942
143,Mathura,585290.0,407488.0,177802.0,217192,72010,16300,4090,79868,144376,290304,20486,220070
144,Agra,903823.0,496971.0,406852.0,262898,155418,21370,7731,82498,333619,417567,28923,418471
145,Firozabad,535368.0,349747.0,185621.0,201455,96709,23434,7425,39872,152395,298200,31052,190592
146,Mainpuri,411258.0,338475.0,72783.0,180746,30278,25386,3203,45695,54879,212210,28789,95412
147,Budaun,867624.0,710956.0,156668.0,464966,81155,57588,9871,149301,121418,545736,66808,270699
148,Bareilly,994411.0,631613.0,362798.0,397917,169064,48635,14512,282963,334863,566815,62648,616535
149,Pilibhit,461390.0,371752.0,89638.0,233089,40875,34202,7530,131972,79599,275450,41987,207165
150,Shahjahanpur,655003.0,520289.0,134714.0,319978,66953,62435,11047,140479,115720,387762,73361,250867
151,Kheri,862610.0,754938.0,107672.0,483161,49314,83799,9583,138154,82047,533956,94025,213928
152,Sitapur,938902.0,827583.0,111319.0,512274,47200,100138,9463,98483,80150,562403,110791,171820
153,Hardoi,907677.0,786613.0,121064.0,490060,56174,65289,7991,136871,89588,547330,73522,222381
154,Unnao,717356.0,596317.0,121039.0,351828,53500,43532,6173,94219,86785,406024,49498,178622
155,Lucknow,1061721.0,344155.0,717566.0,196857,223164,28565,29421,73994,629306,422565,58395,696489
