,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
308,Dibrugarh,299852.0,162520,17092,222491,77163.0,22918,3164,74386
309,Sivasagar,360182.0,217190,21972,258971,45047.0,16398,1757,41984
310,Jorhat,286330.0,174375,23193,168649,80824.0,28531,3233,76137
311,Golaghat,292893.0,187452,23139,190674,34190.0,13232,1436,33404
312,Karbi Anglong,215691.0,140415,9275,104611,37185.0,19337,1339,35140
313,Dima Hasao,37610.0,23469,1693,21476,21309.0,9632,704,20585
314,Cachar,346227.0,197004,42240,268673,88933.0,33084,5425,85198
315,Karimganj,261945.0,150881,39030,219248,32695.0,11803,2845,31845
316,Hailakandi,159215.0,94733,26749,130398,16202.0,4942,1232,15895
317,Bongaigaon,181923.0,116977,22741,89507,38470.0,11157,1655,35239
318,Chirang,129018.0,74186,14063,30965,11613.0,4588,1719,9860
319,Kamrup,390596.0,230843,48044,222640,43849.0,19776,3728,34510
320,Kamrup Metropolitan,61334.0,32140,6195,39684,366858.0,100153,14308,355853
321,Nalbari,210706.0,128531,20018,134220,28238.0,12228,2401,25443
322,Baksa,291641.0,187526,32664,112866,3580.0,1905,269,3369
323,Darrang,268517.0,154666,47797,127815,20189.0,6946,1737,18534
324,Udalguri,267790.0,160407,28654,111133,13835.0,4884,997,12424
325,Darjiling,303284.0,164380,24263,158618,215675.0,68369,11431,187638
326,Jalpaiguri,798378.0,461463,127741,296199,319426.0,118827,33540,262888
327,Koch Bihar,803407.0,463566,101230,447498,97331.0,32996,7690,87890
328,Uttar Dinajpur,683981.0,396025,84814,140901,94269.0,37708,13764,75981
329,Dakshin Dinajpur,390949.0,225187,46523,107511,70077.0,24037,6518,64191
330,Maldah,830318.0,489888,93826,210901,128678.0,62409,10681,95608
331,Murshidabad,1501066.0,842099,255182,520870,350899.0,170187,40705,216856
332,Birbhum,831044.0,432143,129643,155406,134565.0,50193,12515,82893
333,Barddhaman,1364868.0,707002,128298,629205,862368.0,329425,54330,616594
334,Nadia,1081381.0,582865,168696,771025,468390.0,192977,49650,437008
335,North Twenty Four Parganas,1209337.0,559924,238240,954167,1649803.0,551035,89090,1550815
336,Hugli,992085.0,451399,116074,596244,647953.0,218361,34342,575383
337,Bankura,900515.0,471870,105361,148585,90885.0,35264,8089,54895
338,Puruliya,653219.0,409569,48339,39847,99433.0,43254,6663,50612
339,Haora,483384.0,195288,67191,290998,869313.0,305999,56506,725877
340,Kolkata,0.0,,,,1308106.0,404205,35319,1241393
341,South Twenty Four Parganas,1568802.0,782833,254146,862842,611430.0,235401,49526,508099
342,Paschim Medinipur,1364335.0,712183,180093,571657,201048.0,65944,16687,155210
343,Purba Medinipur,1193006.0,584573,215935,1021214,170707.0,59407,17242,141346
344,Garhwa,272872.0,170273,12553,13371,19180.0,8536,1305,8881
345,Chatra,200974.0,115561,9044,13265,14528.0,6741,596,9545
346,Kodarma,116714.0,61042,4902,8871,34771.0,15543,1878,17490
347,Giridih,452564.0,242575,14030,26249,46886.0,17348,1595,28742
348,Deoghar,257373.0,155969,13127,14156,64337.0,24063,2703,43943
